@name	ISO/IEC 6937
@alias	ISO 6937
@alias	IEC 6937
@charset	x-cp20269
@codepage	20269
@filename-kte	iso-6937.kte
@import	fragments/ascii-all.txt
@import	fragments/latin1-c1.txt
0xC441	0x00C3	# LATIN CAPITAL LETTER A WITH TILDE
0xC449	0x0128	# LATIN CAPITAL LETTER I WITH TILDE
0xC44E	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xC44F	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
0xC455	0x0168	# LATIN CAPITAL LETTER U WITH TILDE
0xC461	0x00E3	# LATIN SMALL LETTER A WITH TILDE
0xC469	0x0129	# LATIN SMALL LETTER I WITH TILDE
0xC46E	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0xC46F	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0xC475	0x0169	# LATIN SMALL LETTER U WITH TILDE

0xC520	0x00AF	# MACRON
0xC541	0x0100	# LATIN CAPITAL LETTER A WITH MACRON
0xC545	0x0112	# LATIN CAPITAL LETTER E WITH MACRON
0xC549	0x012A	# LATIN CAPITAL LETTER I WITH MACRON
0xC54F	0x014C	# LATIN CAPITAL LETTER O WITH MACRON
0xC555	0x016A	# LATIN CAPITAL LETTER U WITH MACRON
0xC561	0x0101	# LATIN SMALL LETTER A WITH MACRON
0xC565	0x0113	# LATIN SMALL LETTER E WITH MACRON
0xC569	0x012B	# LATIN SMALL LETTER I WITH MACRON
0xC56F	0x014D	# LATIN SMALL LETTER O WITH MACRON
0xC575	0x016B	# LATIN SMALL LETTER U WITH MACRON

0xC620	0x02D8	# BREVE
0xC641	0x0102	# LATIN CAPITAL LETTER A WITH BREVE
0xC647	0x011E	# LATIN CAPITAL LETTER G WITH BREVE
0xC655	0x016C	# LATIN CAPITAL LETTER U WITH BREVE
0xC661	0x0103	# LATIN SMALL LETTER A WITH BREVE
0xC667	0x011F	# LATIN SMALL LETTER G WITH BREVE
0xC675	0x016D	# LATIN SMALL LETTER U WITH BREVE

0xC720	0x02D9	# DOT ABOVE
0xC743	0x010A	# LATIN CAPITAL LETTER C WITH DOT ABOVE
0xC745	0x0116	# LATIN CAPITAL LETTER E WITH DOT ABOVE
0xC747	0x0120	# LATIN CAPITAL LETTER G WITH DOT ABOVE
0xC749	0x0130	# LATIN CAPITAL LETTER I WITH DOT ABOVE
0xC75A	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xC763	0x010B	# LATIN SMALL LETTER C WITH DOT ABOVE
0xC765	0x0117	# LATIN SMALL LETTER E WITH DOT ABOVE
0xC767	0x0121	# LATIN SMALL LETTER G WITH DOT ABOVE
0xC77A	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE

0xC820	0x00A8	# DIAERESIS
0xC841	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0xC845	0x00CB	# LATIN CAPITAL LETTER E WITH DIAERESIS
0xC849	0x00CF	# LATIN CAPITAL LETTER I WITH DIAERESIS
0xC84F	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xC855	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xC859	0x0178	# LATIN CAPITAL LETTER Y WITH DIAERESIS
0xC861	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0xC865	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0xC869	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0xC86F	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0xC875	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xC879	0x00FF	# LATIN SMALL LETTER Y WITH DIAERESIS

0xCA20	0x02DA	# RING ABOVE
0xCA41	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0xCA55	0x016E	# LATIN CAPITAL LETTER U WITH RING ABOVE
0xCA61	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0xCA75	0x016F	# LATIN SMALL LETTER U WITH RING ABOVE

0xCB20	0x00B8	# CEDILLA
0xCB43	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0xCB47	0x0122	# LATIN CAPITAL LETTER G WITH CEDILLA
0xCB4B	0x0136	# LATIN CAPITAL LETTER K WITH CEDILLA
0xCB4C	0x013B	# LATIN CAPITAL LETTER L WITH CEDILLA
0xCB4E	0x0145	# LATIN CAPITAL LETTER N WITH CEDILLA
0xCB52	0x0156	# LATIN CAPITAL LETTER R WITH CEDILLA
0xCB53	0x015E	# LATIN CAPITAL LETTER S WITH CEDILLA
0xCB54	0x0162	# LATIN CAPITAL LETTER T WITH CEDILLA
0xCB63	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0xCB6B	0x0137	# LATIN SMALL LETTER K WITH CEDILLA
0xCB6C	0x013C	# LATIN SMALL LETTER L WITH CEDILLA
0xCB6E	0x0146	# LATIN SMALL LETTER N WITH CEDILLA
0xCB72	0x0157	# LATIN SMALL LETTER R WITH CEDILLA
0xCB73	0x015F	# LATIN SMALL LETTER S WITH CEDILLA
0xCB74	0x0163	# LATIN SMALL LETTER T WITH CEDILLA

0xCD20	0x02DD	# DOUBLE ACUTE ACCENT
0xCD4F	0x0150	# LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0xCD55	0x0170	# LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0xCD6F	0x0151	# LATIN SMALL LETTER O WITH DOUBLE ACUTE
0xCD75	0x0171	# LATIN SMALL LETTER U WITH DOUBLE ACUTE

0xCE20	0x02DB	# OGONEK
0xCE41	0x0104	# LATIN CAPITAL LETTER A WITH OGONEK
0xCE45	0x0118	# LATIN CAPITAL LETTER E WITH OGONEK
0xCE49	0x012E	# LATIN CAPITAL LETTER I WITH OGONEK
0xCE55	0x0172	# LATIN CAPITAL LETTER U WITH OGONEK
0xCE61	0x0105	# LATIN SMALL LETTER A WITH OGONEK
0xCE65	0x0119	# LATIN SMALL LETTER E WITH OGONEK
0xCE69	0x012F	# LATIN SMALL LETTER I WITH OGONEK
0xCE75	0x0173	# LATIN SMALL LETTER U WITH OGONEK

0xCF20	0x02C7	# CARON
0xCF43	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0xCF44	0x010E	# LATIN CAPITAL LETTER D WITH CARON
0xCF45	0x011A	# LATIN CAPITAL LETTER E WITH CARON
0xCF4C	0x013D	# LATIN CAPITAL LETTER L WITH CARON
0xCF4E	0x0147	# LATIN CAPITAL LETTER N WITH CARON
0xCF52	0x0158	# LATIN CAPITAL LETTER R WITH CARON
0xCF53	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0xCF54	0x0164	# LATIN CAPITAL LETTER T WITH CARON
0xCF5A	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0xCF63	0x010D	# LATIN SMALL LETTER C WITH CARON
