@filename-txt PUBLIC/MUFI/CaseFolding.txt
@generate-txt PUBLIC/MUFI/CaseFolding.txt
@import fragments/header-casefolding.txt

E34D; C; E74D; # LATIN CAPITAL LETTER V WITH MACRON
E34E; C; E74F; # LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE
E350; C; E750; # LATIN CAPITAL LETTER W WITH DOUBLE ACUTE
E353; C; E753; # LATIN CAPITAL LETTER W WITH LATIN SMALL LETTER E ABOVE
E357; C; E757; # LATIN CAPITAL LETTER W WITH MACRON
E373; C; E773; # LATIN CAPITAL LETTER Y WITH MACRON AND ACUTE
E375; C; E775; # LATIN CAPITAL LETTER Y WITH MACRON AND BREVE
E376; C; E776; # LATIN CAPITAL LETTER Y WITH BREVE
E37C; C; E77C; # LATIN CAPITAL LETTER Y WITH DOUBLE ACUTE
E384; C; E784; # LATIN CAPITAL LETTER Y WITH DOT ABOVE AND ACUTE
E385; C; E785; # LATIN CAPITAL LETTER Y WITH CURL
E39F; C; E79F; # LATIN CAPITAL LETTER THORN WITH DOT BELOW
E3D3; C; E7D3; # LATIN CAPITAL LETTER O WITH CURL
E3D4; C; E7D4; # LATIN CAPITAL LETTER O WITH STROKE AND CURL
E3E5; C; E7E5; # LATIN CAPITAL LETTER INSULAR F WITH DOT BELOW
E3E6; C; E7E6; # LATIN CAPITAL LETTER INSULAR V WITH DOT BELOW
E3E7; C; E7E7; # LATIN CAPITAL LETTER INSULAR V WITH DOT ABOVE
E8C2; C; E8C3; # LATIN CAPITAL LETTER H LIGATED WITH ARM OF LATIN SMALL LETTER R
E8C6; C; E8C7; # LATIN CAPITAL LIGATURE UU
E8C8; C; E8C9; # LATIN CAPITAL LIGATURE UE
EBB0; C; EBB1; # LATIN CAPITAL LIGATURE AV WITH STROKE AND ACUTE
EBB3; C; EBB4; # LATIN CAPITAL LETTER INSULAR F WITH ACUTE
EBB5; C; F23E; # LATIN CAPITAL LETTER M UNCIAL FORM WITH ACUTE
EBB7; C; EBB8; # LATIN CAPITAL LETTER O WITH CURL AND ACUTE
EBBA; C; EBBB; # LATIN CAPITAL LETTER INSULAR V WITH ACUTE
EBC0; C; EBC1; # LATIN CAPITAL LIGATURE AO WITH DOUBLE ACUTE
EBC2; C; EBC3; # LATIN CAPITAL LIGATURE AV WITH DOUBLE ACUTE
EBC4; C; EBC5; # LATIN CAPITAL LETTER O WITH OGONEK AND DOUBLE ACUTE
EBC6; C; EBC7; # LATIN CAPITAL LETTER O WITH STROKE AND DOUBLE ACUTE
EBC8; C; EBC9; # LATIN CAPITAL LIGATURE OE WITH DOUBLE ACUTE
EBCA; C; EBCB; # LATIN CAPITAL LIGATURE YY WITH DOUBLE ACUTE
EBCD; C; EBCE; # LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE
EBD3; C; EBD4; # LATIN CAPITAL LETTER INSULAR F WITH DOT ABOVE
EBDE; C; EBDF; # LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE
EBE0; C; EBE1; # LATIN CAPITAL LETTER O WITH STROKE AND DOT BELOW
EBE2; C; EBE3; # LATIN CAPITAL LETTER J WITH DIAERESIS
EBE4; C; EBE5; # LATIN CAPITAL LIGATURE OO WITH DIAERESIS
EBE6; C; EBE7; # LATIN CAPITAL LIGATURE PP WITH DIAERESIS
EBE8; C; EBE9; # LATIN CAPITAL LIGATURE YY WITH DIAERESIS
EBEA; C; EBEB; # LATIN CAPITAL LETTER AE WITH CURL
EBEC; C; EBED; # LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND ACUTE
EBEE; C; EBEF; # LATIN CAPITAL LETTER O WITH STROKE AND BREVE
EBF0; C; EBF1; # LATIN CAPITAL LIGATURE AV WITH OGONEK
EBF2; C; EBF3; # LATIN CAPITAL LETTER E WITH OGONEK AND CURL
EBF4; C; EBF5; # LATIN CAPITAL LETTER A WITH DOT ABOVE AND ACUTE
EBF6; C; EBF7; # LATIN CAPITAL LETTER I WITH DOT ABOVE AND ACUTE
EBF8; C; EBF9; # LATIN CAPITAL LETTER O WITH DOT ABOVE AND ACUTE
EBFA; C; EBFB; # LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE
EBFC; C; EBFD; # LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE
EBFE; C; EBFF; # LATIN CAPITAL LETTER U WITH DOT ABOVE AND ACUTE
EEDD; C; EED6; # LATIN CAPITAL LIGATURE PP
EFAE; C; EFA1; # LATIN CAPITAL LIGATURE NECKLESS A E
EFD9; C; EFD8; # LATIN CAPITAL LIGATURE UU WITH DOUBLE ACUTE
EFDB; C; EFDC; # LATIN CAPITAL LETTER AE WITH DOT ABOVE AND ACUTE
EFE0; C; EFE1; # LATIN CAPITAL LIGATURE AA WITH ACUTE
EFE2; C; EFE3; # LATIN CAPITAL LIGATURE AO WITH ACUTE
EFE4; C; EFE5; # LATIN CAPITAL LIGATURE AU WITH ACUTE
EFE6; C; EFE7; # LATIN CAPITAL LIGATURE AV WITH ACUTE
EFE8; C; EFE9; # LATIN CAPITAL LIGATURE OO WITH ACUTE
EFEA; C; EFEB; # LATIN CAPITAL LIGATURE AA WITH DOUBLE ACUTE
EFEC; C; EFED; # LATIN CAPITAL LIGATURE OO WITH DOUBLE ACUTE
EFEE; C; EFEF; # LATIN CAPITAL LIGATURE AA WITH DOT ABOVE
EFF0; C; EFF1; # LATIN CAPITAL LIGATURE AY WITH DOT ABOVE
EFF2; C; EFF3; # LATIN CAPITAL LIGATURE AA WITH DOT BELOW
EFF4; C; EFF5; # LATIN CAPITAL LIGATURE AO WITH DOT BELOW
EFF6; C; EFF7; # LATIN CAPITAL LIGATURE AU WITH DOT BELOW
EFF8; C; EFF9; # LATIN CAPITAL LIGATURE AV WITH DOT BELOW
EFFA; C; EFFB; # LATIN CAPITAL LIGATURE AY WITH DOT BELOW
EFFC; C; EFFD; # LATIN CAPITAL LIGATURE OO WITH DOT BELOW
EFFE; C; EFFF; # LATIN CAPITAL LIGATURE AA WITH DIAERESIS
F10A; C; F218; # LATIN CAPITAL LETTER E UNCIAL FORM
F11A; C; F23C; # LATIN CAPITAL LETTER M UNCIAL FORM
F126; C; F128; # LATIN CAPITAL LETTER S CLOSED FORM
F201; C; F200; # LATIN CAPITAL LETTER A INSULAR FORM
F205; C; F206; # LATIN CAPITAL LIGATURE AO NECKLESS
F224; C; F23D; # LATIN CAPITAL LETTER M UNCIAL FORM WITH RIGHT DESCENDER
F229; C; F228; # LATIN CAPITAL LETTER N WITH RIGHT DESCENDER
F2FE; C; F2FF; # ROMAN NUMERAL CAPITAL C WITH TWO BARS
F7B4; C; E58C; # LATIN CAPITAL LETTER L WITH HIGH OVERLINE

# EOF
