@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x012447	0xFF27
0x012448	0xFF28
0x012449	0xFF29
0x01244A	0xFF2A
0x01244B	0xFF2B
0x01244C	0xFF2C
0x01244D	0xFF2D
0x01244E	0xFF2E
0x01244F	0xFF2F
0x012450	0xFF30
0x012451	0xFF31
0x012452	0xFF32
0x012453	0xFF33
0x012454	0xFF34
0x012455	0xFF35
0x012456	0xFF36
0x012457	0xFF37
0x012458	0xFF38
0x012459	0xFF39
0x01245A	0xFF3A
0x01245B	0xFF41
0x01245C	0xFF42
0x01245D	0xFF43
0x01245E	0xFF44
0x01245F	0xFF45
0x012460	0xFF46
0x012461	0xFF47
0x012462	0xFF48
0x012463	0xFF49
0x012464	0xFF4A
0x012465	0xFF4B
0x012466	0xFF4C
0x012467	0xFF4D
0x012468	0xFF4E
0x012469	0xFF4F
0x01246A	0xFF50
0x01246B	0xFF51
0x01246C	0xFF52
0x01246D	0xFF53
0x01246E	0xFF54
0x01246F	0xFF55
0x012470	0xFF56
0x012471	0xFF57
0x012472	0xFF58
0x012473	0xFF59
0x012474	0xFF5A
0x012475	0x0391
0x012476	0x0392
0x012477	0x0393
0x012478	0x0394
0x012479	0x0395
0x01247A	0x0396
0x01247B	0x0397
0x01247C	0x0398
0x01247D	0x0399
0x01247E	0x039A
0x012521	0x039B
0x012522	0x039C
0x012523	0x039D
0x012524	0x039E
0x012525	0x039F
0x012526	0x03A0
0x012527	0x03A1
0x012528	0x03A3
0x012529	0x03A4
0x01252A	0x03A5
0x01252B	0x03A6
0x01252C	0x03A7
0x01252D	0x03A8
0x01252E	0x03A9
0x01252F	0x03B1
0x012530	0x03B2
0x012531	0x03B3
0x012532	0x03B4
0x012533	0x03B5
0x012534	0x03B6
0x012535	0x03B7
0x012536	0x03B8
0x012537	0x03B9
0x012538	0x03BA
0x012539	0x03BB
0x01253A	0x03BC
0x01253B	0x03BD
0x01253C	0x03BE
0x01253D	0x03BF
0x01253E	0x03C0
0x01253F	0x03C1
0x012540	0x03C3
0x012541	0x03C4
0x012542	0x03C5
0x012543	0x03C6
0x012544	0x03C7
0x012545	0x03C8
0x012546	0x03C9
0x012547	0x3105
0x012548	0x3106
0x012549	0x3107
0x01254A	0x3108
0x01254B	0x3109
0x01254C	0x310A
0x01254D	0x310B
0x01254E	0x310C
0x01254F	0x310D
0x012550	0x310E
0x012551	0x310F
0x012552	0x3110
0x012553	0x3111
0x012554	0x3112
0x012555	0x3113
0x012556	0x3114
0x012557	0x3115
0x012558	0x3116
0x012559	0x3117
0x01255A	0x3118
0x01255B	0x3119
0x01255C	0x311A
0x01255D	0x311B
0x01255E	0x311C
0x01255F	0x311D
0x012560	0x311E
0x012561	0x311F
0x012562	0x3120
0x012563	0x3121
0x012564	0x3122
0x012565	0x3123
0x012566	0x3124
0x012567	0x3125
0x012568	0x3126
0x012569	0x3127
0x01256A	0x3128
0x01256B	0x3129
0x01256C	0x02D9
0x01256D	0x02C9
0x01256E	0x02CA
0x01256F	0x02C7
0x012570	0x02CB
0x012621	0x2460
0x012622	0x2461
0x012623	0x2462
0x012624	0x2463
0x012625	0x2464
0x012626	0x2465
0x012627	0x2466
0x012628	0x2467
0x012629	0x2468
0x01262A	0x2469
0x01262B	0x2474
0x01262C	0x2475
0x01262D	0x2476
0x01262E	0x2477
0x01262F	0x2478
0x012630	0x2479
0x012631	0x247A
0x012632	0x247B
0x012633	0x247C
0x012634	0x247D
0x012635	0x2170
0x012636	0x2171
0x012637	0x2172
0x012638	0x2173
0x012639	0x2174
0x01263A	0x2175
0x01263B	0x2176
0x01263C	0x2177
0x01263D	0x2178
0x01263E	0x2179
