F6D9;FAIRFAX SQUARE CAPITAL LETTER Y;Lu;0;L;<font> 0059;;;;N;;;;F6F9;
F6DA;FAIRFAX SQUARE CAPITAL LETTER Z;Lu;0;L;<font> 005A;;;;N;;;;F6FA;
F6DB;FAIRFAX SQUARE LEFT SQUARE BRACKET;Ps;0;ON;<font> 005B;;;;Y;;;;;
F6DC;FAIRFAX SQUARE REVERSE SOLIDUS;Po;0;ON;<font> 005C;;;;N;;;;;
F6DD;FAIRFAX SQUARE RIGHT SQUARE BRACKET;Pe;0;ON;<font> 005D;;;;Y;;;;;
F6DE;FAIRFAX SQUARE CIRCUMFLEX ACCENT;Sk;0;ON;<font> 005E;;;;N;;;;;
F6DF;FAIRFAX SQUARE LOW LINE;Pc;0;ON;<font> 005F;;;;N;;;;;
F6E0;FAIRFAX SQUARE GRAVE ACCENT;Sk;0;ON;<font> 0060;;;;N;;;;;
F6E1;FAIRFAX SQUARE SMALL LETTER A;Ll;0;L;<font> 0061;;;;N;;;F6C1;;F6C1
F6E2;FAIRFAX SQUARE SMALL LETTER B;Ll;0;L;<font> 0062;;;;N;;;F6C2;;F6C2
F6E3;FAIRFAX SQUARE SMALL LETTER C;Ll;0;L;<font> 0063;;;;N;;;F6C3;;F6C3
F6E4;FAIRFAX SQUARE SMALL LETTER D;Ll;0;L;<font> 0064;;;;N;;;F6C4;;F6C4
F6E5;FAIRFAX SQUARE SMALL LETTER E;Ll;0;L;<font> 0065;;;;N;;;F6C5;;F6C5
F6E6;FAIRFAX SQUARE SMALL LETTER F;Ll;0;L;<font> 0066;;;;N;;;F6C6;;F6C6
F6E7;FAIRFAX SQUARE SMALL LETTER G;Ll;0;L;<font> 0067;;;;N;;;F6C7;;F6C7
F6E8;FAIRFAX SQUARE SMALL LETTER H;Ll;0;L;<font> 0068;;;;N;;;F6C8;;F6C8
F6E9;FAIRFAX SQUARE SMALL LETTER I;Ll;0;L;<font> 0069;;;;N;;;F6C9;;F6C9
F6EA;FAIRFAX SQUARE SMALL LETTER J;Ll;0;L;<font> 006A;;;;N;;;F6CA;;F6CA
F6EB;FAIRFAX SQUARE SMALL LETTER K;Ll;0;L;<font> 006B;;;;N;;;F6CB;;F6CB
F6EC;FAIRFAX SQUARE SMALL LETTER L;Ll;0;L;<font> 006C;;;;N;;;F6CC;;F6CC
F6ED;FAIRFAX SQUARE SMALL LETTER M;Ll;0;L;<font> 006D;;;;N;;;F6CD;;F6CD
F6EE;FAIRFAX SQUARE SMALL LETTER N;Ll;0;L;<font> 006E;;;;N;;;F6CE;;F6CE
F6EF;FAIRFAX SQUARE SMALL LETTER O;Ll;0;L;<font> 006F;;;;N;;;F6CF;;F6CF
F6F0;FAIRFAX SQUARE SMALL LETTER P;Ll;0;L;<font> 0070;;;;N;;;F6D0;;F6D0
F6F1;FAIRFAX SQUARE SMALL LETTER Q;Ll;0;L;<font> 0071;;;;N;;;F6D1;;F6D1
F6F2;FAIRFAX SQUARE SMALL LETTER R;Ll;0;L;<font> 0072;;;;N;;;F6D2;;F6D2
F6F3;FAIRFAX SQUARE SMALL LETTER S;Ll;0;L;<font> 0073;;;;N;;;F6D3;;F6D3
F6F4;FAIRFAX SQUARE SMALL LETTER T;Ll;0;L;<font> 0074;;;;N;;;F6D4;;F6D4
F6F5;FAIRFAX SQUARE SMALL LETTER U;Ll;0;L;<font> 0075;;;;N;;;F6D5;;F6D5
F6F6;FAIRFAX SQUARE SMALL LETTER V;Ll;0;L;<font> 0076;;;;N;;;F6D6;;F6D6
F6F7;FAIRFAX SQUARE SMALL LETTER W;Ll;0;L;<font> 0077;;;;N;;;F6D7;;F6D7
F6F8;FAIRFAX SQUARE SMALL LETTER X;Ll;0;L;<font> 0078;;;;N;;;F6D8;;F6D8
F6F9;FAIRFAX SQUARE SMALL LETTER Y;Ll;0;L;<font> 0079;;;;N;;;F6D9;;F6D9
F6FA;FAIRFAX SQUARE SMALL LETTER Z;Ll;0;L;<font> 007A;;;;N;;;F6DA;;F6DA
F6FB;FAIRFAX SQUARE LEFT CURLY BRACKET;Ps;0;ON;<font> 007B;;;;Y;;;;;
F6FC;FAIRFAX SQUARE VERTICAL LINE;Sm;0;ON;<font> 007C;;;;N;;;;;
F6FD;FAIRFAX SQUARE RIGHT CURLY BRACKET;Pe;0;ON;<font> 007D;;;;Y;;;;;
F6FE;FAIRFAX SQUARE TILDE;Sm;0;ON;<font> 007E;;;;N;;;;;
F6FF;FAIRFAX SQUARE TEXT CURSOR;So;0;ON;;;;;N;;;;;
