F461;SABINE SANS-SERIF SMALL LETTER A;Ll;0;L;<font> 0061;;;;N;;;F441;;F441
F462;SABINE SANS-SERIF SMALL LETTER B;Ll;0;L;<font> 0062;;;;N;;;F442;;F442
F463;SABINE SANS-SERIF SMALL LETTER C;Ll;0;L;<font> 0063;;;;N;;;F443;;F443
F464;SABINE SANS-SERIF SMALL LETTER D;Ll;0;L;<font> 0064;;;;N;;;F444;;F444
F465;SABINE SANS-SERIF SMALL LETTER E;Ll;0;L;<font> 0065;;;;N;;;F445;;F445
F466;SABINE SANS-SERIF SMALL LETTER F;Ll;0;L;<font> 0066;;;;N;;;F446;;F446
F467;SABINE SANS-SERIF SMALL LETTER G;Ll;0;L;<font> 0067;;;;N;;;F447;;F447
F468;SABINE SANS-SERIF SMALL LETTER H;Ll;0;L;<font> 0068;;;;N;;;F448;;F448
F469;SABINE SANS-SERIF SMALL LETTER I;Ll;0;L;<font> 0069;;;;N;;;F449;;F449
F46A;SABINE SANS-SERIF SMALL LETTER J;Ll;0;L;<font> 006A;;;;N;;;F44A;;F44A
F46B;SABINE SANS-SERIF SMALL LETTER K;Ll;0;L;<font> 006B;;;;N;;;F44B;;F44B
F46C;SABINE SANS-SERIF SMALL LETTER L;Ll;0;L;<font> 006C;;;;N;;;F44C;;F44C
F46D;SABINE SANS-SERIF SMALL LETTER M;Ll;0;L;<font> 006D;;;;N;;;F44D;;F44D
F46E;SABINE SANS-SERIF SMALL LETTER N;Ll;0;L;<font> 006E;;;;N;;;F44E;;F44E
F46F;SABINE SANS-SERIF SMALL LETTER O;Ll;0;L;<font> 006F;;;;N;;;F44F;;F44F
F470;SABINE SANS-SERIF SMALL LETTER P;Ll;0;L;<font> 0070;;;;N;;;F450;;F450
F471;SABINE SANS-SERIF SMALL LETTER Q;Ll;0;L;<font> 0071;;;;N;;;F451;;F451
F472;SABINE SANS-SERIF SMALL LETTER R;Ll;0;L;<font> 0072;;;;N;;;F452;;F452
F473;SABINE SANS-SERIF SMALL LETTER S;Ll;0;L;<font> 0073;;;;N;;;F453;;F453
F474;SABINE SANS-SERIF SMALL LETTER T;Ll;0;L;<font> 0074;;;;N;;;F454;;F454
F475;SABINE SANS-SERIF SMALL LETTER U;Ll;0;L;<font> 0075;;;;N;;;F455;;F455
F476;SABINE SANS-SERIF SMALL LETTER V;Ll;0;L;<font> 0076;;;;N;;;F456;;F456
F477;SABINE SANS-SERIF SMALL LETTER W;Ll;0;L;<font> 0077;;;;N;;;F457;;F457
F478;SABINE SANS-SERIF SMALL LETTER X;Ll;0;L;<font> 0078;;;;N;;;F458;;F458
F479;SABINE SANS-SERIF SMALL LETTER Y;Ll;0;L;<font> 0079;;;;N;;;F459;;F459
F47A;SABINE SANS-SERIF SMALL LETTER Z;Ll;0;L;<font> 007A;;;;N;;;F45A;;F45A
F47B;SABINE SANS-SERIF LEFT CURLY BRACKET;Ps;0;ON;<font> 007B;;;;Y;;;;;
F47C;SABINE SANS-SERIF VERTICAL LINE;Sm;0;ON;<font> 007C;;;;N;;;;;
F47D;SABINE SANS-SERIF RIGHT CURLY BRACKET;Pe;0;ON;<font> 007D;;;;Y;;;;;
F47E;SABINE SANS-SERIF TILDE;Sm;0;ON;<font> 007E;;;;N;;;;;
F47F;SABINE SANS-SERIF TEXT CURSOR;So;0;ON;;;;;N;;;;;
F480;SABINE SERIF COMMERCIAL AT;Po;0;ON;<font> 0040;;;;N;;;;;
F481;SABINE SERIF CAPITAL LETTER A;Lu;0;L;<font> 0041;;;;N;;;;F4A1;
F482;SABINE SERIF CAPITAL LETTER B;Lu;0;L;<font> 0042;;;;N;;;;F4A2;
F483;SABINE SERIF CAPITAL LETTER C;Lu;0;L;<font> 0043;;;;N;;;;F4A3;
F484;SABINE SERIF CAPITAL LETTER D;Lu;0;L;<font> 0044;;;;N;;;;F4A4;
F485;SABINE SERIF CAPITAL LETTER E;Lu;0;L;<font> 0045;;;;N;;;;F4A5;
F486;SABINE SERIF CAPITAL LETTER F;Lu;0;L;<font> 0046;;;;N;;;;F4A6;
F487;SABINE SERIF CAPITAL LETTER G;Lu;0;L;<font> 0047;;;;N;;;;F4A7;
F488;SABINE SERIF CAPITAL LETTER H;Lu;0;L;<font> 0048;;;;N;;;;F4A8;
F489;SABINE SERIF CAPITAL LETTER I;Lu;0;L;<font> 0049;;;;N;;;;F4A9;
F48A;SABINE SERIF CAPITAL LETTER J;Lu;0;L;<font> 004A;;;;N;;;;F4AA;
F48B;SABINE SERIF CAPITAL LETTER K;Lu;0;L;<font> 004B;;;;N;;;;F4AB;
F48C;SABINE SERIF CAPITAL LETTER L;Lu;0;L;<font> 004C;;;;N;;;;F4AC;
F48D;SABINE SERIF CAPITAL LETTER M;Lu;0;L;<font> 004D;;;;N;;;;F4AD;
F48E;SABINE SERIF CAPITAL LETTER N;Lu;0;L;<font> 004E;;;;N;;;;F4AE;
