E94B;GLAITHA-A CAPITAL LETTER IRMA WITH DIAERESIS;Lu;0;L;E92A 0308;;;;N;;;;E97B;
E94C;GLAITHA-A CAPITAL LETTER OLIVA WITH DIAERESIS;Lu;0;L;E934 0308;;;;N;;;;E97C;
E94D;GLAITHA-A CAPITAL LETTER UNISHA WITH DIAERESIS;Lu;0;L;E93C 0308;;;;N;;;;E97D;
E94E;GLAITHA-A CAPITAL LETTER YOLANA WITH DIAERESIS;Lu;0;L;E940 0308;;;;N;;;;E97E;
E94F;GLAITHA-A CAPITAL LETTER OYNA WITH DIAERESIS;Lu;0;L;E943 0308;;;;N;;;;E97F;
E950;GLAITHA-A SMALL LETTER ALLYSSA;Ll;0;L;;;;;N;;;E920;;E920
E951;GLAITHA-A SMALL LETTER AURA;Ll;0;L;;;;;N;;;E921;;E921
E952;GLAITHA-A SMALL LETTER BETHA;Ll;0;L;;;;;N;;;E922;;E922
E953;GLAITHA-A SMALL LETTER CASTA;Ll;0;L;;;;;N;;;E923;;E923
E954;GLAITHA-A SMALL LETTER CHELLA;Ll;0;L;;;;;N;;;E924;;E924
E955;GLAITHA-A SMALL LETTER DANELLA;Ll;0;L;;;;;N;;;E925;;E925
E956;GLAITHA-A SMALL LETTER ELLA;Ll;0;L;;;;;N;;;E926;;E926
E957;GLAITHA-A SMALL LETTER FAYA;Ll;0;L;;;;;N;;;E927;;E927
E958;GLAITHA-A SMALL LETTER GEMMA;Ll;0;L;;;;;N;;;E928;;E928
E959;GLAITHA-A SMALL LETTER HALLA;Ll;0;L;;;;;N;;;E929;;E929
E95A;GLAITHA-A SMALL LETTER IRMA;Ll;0;L;;;;;N;;;E92A;;E92A
E95B;GLAITHA-A SMALL LETTER JENNA;Ll;0;L;;;;;N;;;E92B;;E92B
E95C;GLAITHA-A SMALL LETTER KASSIA;Ll;0;L;;;;;N;;;E92C;;E92C
E95D;GLAITHA-A SMALL LETTER KYANA;Ll;0;L;;;;;N;;;E92D;;E92D
E95E;GLAITHA-A SMALL LETTER LIORA;Ll;0;L;;;;;N;;;E92E;;E92E
E95F;GLAITHA-A SMALL LETTER LYANA;Ll;0;L;;;;;N;;;E92F;;E92F
E960;GLAITHA-A SMALL LETTER MIA;Ll;0;L;;;;;N;;;E930;;E930
E961;GLAITHA-A SMALL LETTER MYANA;Ll;0;L;;;;;N;;;E931;;E931
E962;GLAITHA-A SMALL LETTER NORRA;Ll;0;L;;;;;N;;;E932;;E932
E963;GLAITHA-A SMALL LETTER NYANA;Ll;0;L;;;;;N;;;E933;;E933
E964;GLAITHA-A SMALL LETTER OLIVA;Ll;0;L;;;;;N;;;E934;;E934
E965;GLAITHA-A SMALL LETTER PADMA;Ll;0;L;;;;;N;;;E935;;E935
E966;GLAITHA-A SMALL LETTER QUENTINA;Ll;0;L;;;;;N;;;E936;;E936
E967;GLAITHA-A SMALL LETTER RASHELLA;Ll;0;L;;;;;N;;;E937;;E937
E968;GLAITHA-A SMALL LETTER SELLA;Ll;0;L;;;;;N;;;E938;;E938
E969;GLAITHA-A SMALL LETTER SHELLA;Ll;0;L;;;;;N;;;E939;;E939
E96A;GLAITHA-A SMALL LETTER TEMMA;Ll;0;L;;;;;N;;;E93A;;E93A
E96B;GLAITHA-A SMALL LETTER THALIA;Ll;0;L;;;;;N;;;E93B;;E93B
E96C;GLAITHA-A SMALL LETTER UNISHA;Ll;0;L;;;;;N;;;E93C;;E93C
E96D;GLAITHA-A SMALL LETTER VERMA;Ll;0;L;;;;;N;;;E93D;;E93D
E96E;GLAITHA-A SMALL LETTER WITNA;Ll;0;L;;;;;N;;;E93E;;E93E
E96F;GLAITHA-A SMALL LETTER XETTA;Ll;0;L;;;;;N;;;E93F;;E93F
E970;GLAITHA-A SMALL LETTER YOLANA;Ll;0;L;;;;;N;;;E940;;E940
E971;GLAITHA-A SMALL LETTER ZEFFA;Ll;0;L;;;;;N;;;E941;;E941
E972;GLAITHA-A SMALL LETTER INGA;Ll;0;L;;;;;N;;;E942;;E942
E973;GLAITHA-A SMALL LETTER OYNA;Ll;0;L;;;;;N;;;E943;;E943
E974;GLAITHA-A SMALL LETTER DHAMMA;Ll;0;L;;;;;N;;;E944;;E944
E975;GLAITHA-A SMALL LETTER KHALKA;Ll;0;L;;;;;N;;;E945;;E945
E976;GLAITHA-A SMALL LETTER RHIENNA;Ll;0;L;;;;;N;;;E946;;E946
E977;GLAITHA-A SMALL LETTER ZHALIA;Ll;0;L;;;;;N;;;E947;;E947
E978;GLAITHA-A SMALL LETTER ALLYSSA WITH DIAERESIS;Ll;0;L;E950 0308;;;;N;;;E948;;E948
E979;GLAITHA-A SMALL LETTER AURA WITH DIAERESIS;Ll;0;L;E951 0308;;;;N;;;E949;;E949
E97A;GLAITHA-A SMALL LETTER ELLA WITH DIAERESIS;Ll;0;L;E956 0308;;;;N;;;E94A;;E94A
E97B;GLAITHA-A SMALL LETTER IRMA WITH DIAERESIS;Ll;0;L;E95A 0308;;;;N;;;E94B;;E94B
E97C;GLAITHA-A SMALL LETTER OLIVA WITH DIAERESIS;Ll;0;L;E964 0308;;;;N;;;E94C;;E94C
E97D;GLAITHA-A SMALL LETTER UNISHA WITH DIAERESIS;Ll;0;L;E96C 0308;;;;N;;;E94D;;E94D
E97E;GLAITHA-A SMALL LETTER YOLANA WITH DIAERESIS;Ll;0;L;E970 0308;;;;N;;;E94E;;E94E
E97F;GLAITHA-A SMALL LETTER OYNA WITH DIAERESIS;Ll;0;L;E973 0308;;;;N;;;E94F;;E94F
