@category	Mac OS Classic
AxA5	Ax0025
0xA6	0x20AA
0xA7	0x202E+0x0027+0x202C
AxA7	Ax0027
0xA8	0x202E+0x0029+0x202C
AxA8	Ax0029
0xA9	0x202E+0x0028+0x202C
AxA9	Ax0028
0xAA	0x202E+0x002A+0x202C
AxAA	Ax002A
0xAB	0x202E+0x002B+0x202C
AxAB	Ax002B
0xAC	0x202E+0x002C+0x202C
AxAC	Ax002C
0xAD	0x202E+0x002D+0x202C
AxAD	Ax002D
0xAE	0x202E+0x002E+0x202C
AxAE	Ax002E
0xAF	0x202E+0x002F+0x202C
AxAF	Ax002F
0xB0	0x202E+0x0030+0x202C
AxB0	Ax0030
0xB1	0x202E+0x0031+0x202C
AxB1	Ax0031
0xB2	0x202E+0x0032+0x202C
AxB2	Ax0032
0xB3	0x202E+0x0033+0x202C
AxB3	Ax0033
0xB4	0x202E+0x0034+0x202C
AxB4	Ax0034
0xB5	0x202E+0x0035+0x202C
AxB5	Ax0035
0xB6	0x202E+0x0036+0x202C
AxB6	Ax0036
0xB7	0x202E+0x0037+0x202C
AxB7	Ax0037
0xB8	0x202E+0x0038+0x202C
AxB8	Ax0038
0xB9	0x202E+0x0039+0x202C
AxB9	Ax0039
0xBA	0x202E+0x003A+0x202C
AxBA	Ax003A
0xBB	0x202E+0x003B+0x202C
AxBB	Ax003B
0xBC	0x202E+0x003C+0x202C
AxBC	Ax003C
0xBD	0x202E+0x003D+0x202C
AxBD	Ax003D
0xBE	0x202E+0x003E+0x202C
AxBE	Ax003E
0xBF	0x202E+0x003F+0x202C
AxBF	Ax003F
0xC0	0xF86A+0x05DC+0x05B9
0xC1	0x202E+0x201E+0x202C
AxC1	Ax201E
0xC2	0xF89B
0xC3	0xF89C
0xC4	0xF89D
0xC5	0xF89E
0xC6	0x05BC
0xC7	0xFB4B
0xC8	0xFB35
0xC9	0x202E+0x2026+0x202C
AxC9	Ax2026
0xCA	0x202E+0x00A0+0x202C
AxCA	Ax00A0
0xCB	0x05B8
0xCC	0x05B7
0xCD	0x05B5
0xCE	0x05B6
0xCF	0x05B4
0xD0	0x202E+0x2013+0x202C
AxD0	Ax2013
0xD1	0x202E+0x2014+0x202C
AxD1	Ax2014
0xD2	0x202E+0x201C+0x202C
AxD2	Ax201C
0xD3	0x202E+0x201D+0x202C
AxD3	Ax201D
0xD4	0x202E+0x2018+0x202C
AxD4	Ax2018
0xD5	0x202E+0x2019+0x202C
AxD5	Ax2019
0xD6	0xFB2A
0xD7	0xFB2B
0xD8	0x05BF
