@category	Mac OS Classic
@name	Mac OS Arabic
@alias	MacArabic
@charset	x-mac-arabic
@cfstringencoding	4
@codepage	10004
@filename-kte	macarabic.kte
@filename-txt	VENDORS/APPLE/ARABIC.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/ARABIC.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Arabic character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	4 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/ARABIC.TXT
@cite-copyright	1994-2002, 2005 by Apple Computer, Inc.
0x9B	0x202E+0x00F7+0x202C
Ax9B	Ax00F7
0x9C	0x00FA
0x9D	0x00F9
0x9E	0x00FB
0x9F	0x00FC
0xA0	0x202E+0x0020+0x202C
AxA0	Ax0020
0xA1	0x202E+0x0021+0x202C
AxA1	Ax0021
0xA2	0x202E+0x0022+0x202C
AxA2	Ax0022
0xA3	0x202E+0x0023+0x202C
AxA3	Ax0023
0xA4	0x202E+0x0024+0x202C
AxA4	Ax0024
0xA5	0x066A
0xA6	0x202E+0x0026+0x202C
AxA6	Ax0026
0xA7	0x202E+0x0027+0x202C
AxA7	Ax0027
0xA8	0x202E+0x0028+0x202C
AxA8	Ax0028
0xA9	0x202E+0x0029+0x202C
AxA9	Ax0029
0xAA	0x202E+0x002A+0x202C
AxAA	Ax002A
0xAB	0x202E+0x002B+0x202C
AxAB	Ax002B
0xAC	0x060C
0xAD	0x202E+0x002D+0x202C
AxAD	Ax002D
0xAE	0x202E+0x002E+0x202C
AxAE	Ax002E
0xAF	0x202E+0x002F+0x202C
AxAF	Ax002F
0xB0	0x202E+0x0660+0x202C
AxB0	Ax0660
0xB1	0x202E+0x0661+0x202C
AxB1	Ax0661
0xB2	0x202E+0x0662+0x202C
AxB2	Ax0662
0xB3	0x202E+0x0663+0x202C
AxB3	Ax0663
0xB4	0x202E+0x0664+0x202C
AxB4	Ax0664
0xB5	0x202E+0x0665+0x202C
AxB5	Ax0665
0xB6	0x202E+0x0666+0x202C
AxB6	Ax0666
0xB7	0x202E+0x0667+0x202C
AxB7	Ax0667
0xB8	0x202E+0x0668+0x202C
AxB8	Ax0668
0xB9	0x202E+0x0669+0x202C
AxB9	Ax0669
0xBA	0x202E+0x003A+0x202C
AxBA	Ax003A
0xBB	0x061B
0xBC	0x202E+0x003C+0x202C
AxBC	Ax003C
0xBD	0x202E+0x003D+0x202C
AxBD	Ax003D
0xBE	0x202E+0x003E+0x202C
AxBE	Ax003E
0xBF	0x061F
0xC0	0x202E+0x274A+0x202C
AxC0	Ax274A
0xC1	0x0621
0xC2	0x0622
0xC3	0x0623
0xC4	0x0624
0xC5	0x0625
0xC6	0x0626
0xC7	0x0627
0xC8	0x0628
0xC9	0x0629
0xCA	0x062A
0xCB	0x062B
0xCC	0x062C
0xCD	0x062D
0xCE	0x062E
0xCF	0x062F
0xD0	0x0630
0xD1	0x0631
0xD2	0x0632
0xD3	0x0633
0xD4	0x0634
0xD5	0x0635
0xD6	0x0636
0xD7	0x0637
0xD8	0x0638
0xD9	0x0639
0xDA	0x063A
0xDB	0x202E+0x005B+0x202C
AxDB	Ax005B
0xDC	0x202E+0x005C+0x202C
AxDC	Ax005C
0xDD	0x202E+0x005D+0x202C
AxDD	Ax005D
0xDE	0x202E+0x005E+0x202C
AxDE	Ax005E
0xDF	0x202E+0x005F+0x202C
AxDF	Ax005F
0xE0	0x0640
0xE1	0x0641
0xE2	0x0642
0xE3	0x0643
0xE4	0x0644
0xE5	0x0645
0xE6	0x0646
0xE7	0x0647
0xE8	0x0648
0xE9	0x0649
0xEA	0x064A
0xEB	0x064B
0xEC	0x064C
0xED	0x064D
0xEE	0x064E
0xEF	0x064F
0xF0	0x0650
0xF1	0x0651
0xF2	0x0652
0xF3	0x067E
0xF4	0x0679
0xF5	0x0686
0xF6	0x06D5
0xF7	0x06A4
0xF8	0x06AF
0xF9	0x0688
0xFA	0x0691
0xFB	0x202E+0x007B+0x202C
AxFB	Ax007B
0xFC	0x202E+0x007C+0x202C
AxFC	Ax007C
0xFD	0x202E+0x007D+0x202C
AxFD	Ax007D
0xFE	0x0698
0xFF	0x06D2
